nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Kerry blue terrier,Europa Irlanda,Grupo III,Rústico Musculoso Proporcionado,Mediano,45-55,10-25,12-14,Alta,Fuerte Sociable Inteligente Activo Dominante,Niños Casas Caza Personas alérgicas,Arnés,Temperado,Medio Rizado Duro,
Perro bedlington terrier,Europa Reino Unido,Grupo III,Rústico Alargado,Mediano,35-45,3-10,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Caza Personas alérgicas,,Temperado,Largo Rizado Duro,
Parson russell terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Proporcionado Orejas largas,Pequeño,35-45,3-10,12-14,Alta,Sociable Muy fiel Inteligente Activo Cariñoso Dominante,Pisos Casas Senderismo Deporte,,Temperado,Corto Liso,
Bull Terrier Inglés Miniatura,Europa Reino Unido,Grupo III,Musculoso Alargado Patas cortas Orejas cortas,Toy,15-35,10-25,12-14,Alta,Fuerte Sociable Muy fiel Activo Cariñoso,Pisos Casas Senderismo Vigilancia,Bozal,Temperado,,
West highland white terrier,Europa Reino Unido,Grupo III,Alargado Patas cortas Orejas cortas,Pequeño,15-35,3-10,12-14,Media,Equilibrado Pasivo Inteligente Activo Cariñoso,Niños Pisos Casas Senderismo Caza Vigilancia,,Temperado,Largo,
Cairn terrier,Europa Reino Unido,Grupo III,Rústico Alargado Patas cortas,Mediano,15-35,3-10,12-14,Media,Sociable Inteligente Activo,Pisos Casas,,Temperado,Medio Duro Grueso,
Border terrier,Europa Reino Unido,Grupo III,Rústico Fino Proporcionado,Pequeño,35-45,3-10,12-14,Media,Sociable Activo Dócil,Niños Pisos Casas Caza,,Temperado,Medio Duro Grueso,
Bull terrier inglés,Europa Reino Unido,Grupo III,Musculoso Alargado Patas cortas Orejas cortas,Mediano,45-55,25-45,12-14,Alta,Equilibrado Fuerte Sociable Muy fiel Activo Cariñoso,Casas Senderismo Vigilancia,Bozal Arnés,Caluroso,Corto Liso Grueso,
Airedale terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Proporcionado,Grande,55-70,10-25,12-14,Alta,Equilibrado Tímido Activo Dominante,Casas Senderismo Caza Vigilancia Personas con discapacidad Deporte,Arnés,Frío,Medio Rizado Duro Grueso,
Norfolk terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Alargado Patas cortas,Pequeño,15-35,3-10,12-14,Media,Equilibrado Sociable Inteligente Activo Cariñoso,Niños Pisos Casas Caza,,Temperado,Corto Liso Duro Seco,
Fox paulistinha o terrier brasileño,América Brasil,Grupo III,Proporcionado,Pequeño,35-45,3-10,12-14,Alta,Inteligente Activo,Casas Caza Vigilancia,,Temperado,Corto Liso Fino,
Staffordshire bull terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Alargado Patas cortas Orejas cortas,Mediano,35-45,10-25,12-14,Alta,Equilibrado Sociable Muy fiel Activo Cariñoso,Niños Pisos Casas Senderismo Deporte,Bozal,Temperado,Corto Liso Fino,
Skye terrier,Europa Reino Unido,Grupo III,Alargado,Pequeño,15-35,10-25,12-14,Baja,Muy fiel Tranquilo,Pisos Casas Caza Personas mayores,,Temperado,Largo Liso Duro,
Scottish terrier,Europa Reino Unido,Grupo III,Musculoso Patas cortas,Pequeño,15-35,3-10,12-14,Alta,Muy fiel Inteligente Activo,Pisos Casas,,,Medio Duro Grueso,
Fox terrier de pelo liso,Europa Reino Unido,Grupo III,Fino Proporcionado,Pequeño,35-45,3-10,12-14,Alta,Sociable Inteligente Activo,Casas Senderismo Caza Vigilancia Deporte,,Temperado,Corto Liso Fino,
